"","D_KL","log.p.vals","T.counts"
"gene_1",1.21968969536791,-25.0676991496853,50
"gene_2",0.0363235410515486,0,100
"gene_3",0.0305139485130641,0,118
"gene_4",0.0547560765525802,0,158
"gene_5",0.0177860830784435,0,171
"gene_6",0.0423770487724647,0,149
"gene_7",0.0386989349388689,0,168
"gene_8",0.032367342817791,0,91
"gene_9",0.0470878901781294,0,90
"gene_10",0.0635677348740371,0,68
"gene_11",0.0625871802830865,0,89
"gene_12",0.107132655500058,0,51
"gene_13",0.0888768161097008,0,60
"gene_14",0.0429495376624607,0,76
"gene_15",0.0563644289691118,0,126
"gene_16",0.0575220971837427,0,122
"gene_17",0.0422341444248922,0,150
"gene_18",0.0876676391969178,0,100
"gene_19",0.040753831143965,0,96
"gene_20",0.0713879714245665,0,81
"gene_21",0.0476243475822792,0,128
"gene_22",0.0461469071662304,0,141
"gene_23",0.0428653983529996,0,118
"gene_24",0.0432510460723379,0,109
"gene_25",0.0482955708792793,0,122
"gene_26",0.0441419584551587,0,122
"gene_27",0.0521623563229212,0,90
"gene_28",0.0448167300079039,0,107
"gene_29",0.0297326798885724,0,95
"gene_30",0.0475850587326646,0,77
"gene_31",0.0180245036617912,0,164
"gene_32",0.0622848676693143,0,100
"gene_33",0.0238942704107552,0,127
"gene_34",0.0373741218803764,0,79
"gene_35",0.0502339890793977,0,102
"gene_36",0.0574523928132353,0,104
"gene_37",0.0345631458804519,0,107
"gene_38",0.0501493629937032,0,93
"gene_39",0.0626569994811357,0,100
"gene_40",0.108977217233806,0,42
"gene_41",0.0555198888597826,0,100
"gene_42",0.127492289852616,0,44
"gene_43",0.0508152665812978,0,103
"gene_44",0.0411671675857004,0,88
"gene_45",0.0573189402734214,0,67
"gene_46",0.0733964241992707,0,101
"gene_47",0.0263762724049185,0,119
"gene_48",0.0536596817873138,0,141
"gene_49",0.0470624449278681,0,118
"gene_50",0.0531907471848876,0,97
"gene_51",0.051486008417047,0,102
"gene_52",0.0311648134100922,0,116
"gene_53",0.0383586511325534,0,146
"gene_54",0.0362062498265683,0,102
"gene_55",0.0887096962774235,0,52
"gene_56",0.027777846538451,0,161
"gene_57",0.0371862817005117,0,67
"gene_58",0.159534496911277,-0.1643235759237,67
"gene_59",0.0351514356209227,0,111
"gene_60",0.0325370437300093,0,134
"gene_61",0.0611159518002416,0,68
"gene_62",0.0392582629248884,0,124
"gene_63",0.0326029633308785,0,150
"gene_64",0.10092807843888,0,53
"gene_65",0.061135181132837,0,90
"gene_66",0.0371568447561415,0,135
"gene_67",0.0473919622373892,0,81
